Free: 25 spline, 76 tower
Update: 23 spline, 67 tower
Free: 12 spline, 32 tower
Update: 25 spline, 69 tower
Free: 11 spline, 35 tower
Update: 10 spline, 22 tower
Free: 5 spline, 11 tower
Update: 10 spline, 22 tower
Free: 5 spline, 11 tower
Update: 6 spline, 18 tower
Free: 3 spline, 8 tower
Update: 11 spline, 40 tower
Free: 5 spline, 20 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 4 spline, 7 tower
Update: 6 spline, 33 tower
Free: 3 spline, 18 tower
Update: 3 spline, 11 tower
Free: 1 spline, 5 tower
Update: 4 spline, 19 tower
Free: 2 spline, 10 tower
Update: 8 spline, 38 tower
Free: 4 spline, 19 tower
Update: 14 spline, 30 tower
Free: 7 spline, 15 tower
Update: 14 spline, 30 tower
Free: 7 spline, 15 tower
Update: 6 spline, 32 tower
Free: 3 spline, 16 tower
Update: 10 spline, 52 tower
Free: 5 spline, 26 tower
Update: 3 spline, 11 tower
Update: 6 spline, 22 tower
Free: 3 spline, 11 tower
Update: 14 spline, 60 tower
Free: 7 spline, 30 tower
Update: 10 spline, 42 tower
Free: 5 spline, 21 tower
Update: 6 spline, 22 tower
Free: 3 spline, 11 tower
Update: 18 spline, 83 tower
Free: 10 spline, 46 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 2 spline, 6 tower
Free: 1 spline, 3 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 1 spline, 3 tower
Update: 8 spline, 14 tower
Free: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 8 spline, 14 tower
Free: 4 spline, 7 tower
Update: 8 spline, 14 tower
Free: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 1 spline, 7 tower
Update: 6 spline, 32 tower
Free: 3 spline, 16 tower
Update: 2 spline, 14 tower
Free: 1 spline, 7 tower
Update: 10 spline, 52 tower
Free: 5 spline, 26 tower
Update: 2 spline, 14 tower
Free: 1 spline, 7 tower
Update: 8 spline, 22 tower
Free: 4 spline, 11 tower
Update: 14 spline, 38 tower
Free: 7 spline, 19 tower
