Game Turn, Mode, Player, Unit, Operation
Unit operation handler f4921fdc, is disabled
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
Unit operation handler 8c676517, is disabled
040, Adding, 8, UNIT_HORSEMAN (3997710), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_VIETNAMESE_VOI_CHIEN (5111825), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_VIETNAMESE_VOI_CHIEN (5373972), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_VIETNAMESE_VOI_CHIEN (5046300), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SWORDSMAN (3801117), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_VIETNAMESE_VOI_CHIEN (5308458), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_VIETNAMESE_VOI_CHIEN (5570604), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_HORSEMAN (4587566), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SWORDSMAN (4980786), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (2555910), UNITOPERATION_SPREAD_RELIGION (38)
040, Adding, 8, UNIT_MISSIONARY (5177355), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (3866637), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (3866637), UNITOPERATION_SPREAD_RELIGION (38)
040, Can't Start, 8, UNIT_MISSIONARY (3866637), UNITOPERATION_SPREAD_RELIGION (38)
040, Adding, 8, UNIT_MISSIONARY (2621458), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (4259864), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (4849689), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (2883614), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (2949151), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (2949151), UNITOPERATION_SPREAD_RELIGION (38)
040, Adding, 8, UNIT_MISSIONARY (3407907), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (3670053), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (4063272), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_MISSIONARY (4784176), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SKIRMISHER (4522029), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SKIRMISHER (4522029), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SKIRMISHER (4522029), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SKIRMISHER (4128809), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SKIRMISHER (4128809), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SKIRMISHER (5242890), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SKIRMISHER (5505075), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SKIRMISHER (5242890), UNITOPERATION_SKIP_TURN (36)
040, Adding, 8, UNIT_SKIRMISHER (5505075), UNITOPERATION_SKIP_TURN (36)
040, Can't Start, 8, UNIT_TRADER (1048588), UNITOPERATION_MAKE_TRADE_ROUTE (18)
040, Can't Start, 8, UNIT_MISSIONARY (3866637), UNITOPERATION_SPREAD_RELIGION (38)
040, Adding, 9, UNIT_ROMAN_LEGION (3145740), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 9, UNIT_ROMAN_LEGION (3145740), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 9, UNIT_ROMAN_LEGION (3145740), UNITOPERATION_MOVE_TO (19)
