Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
42, LOC_CITY_NAME_BUENOS_AIRES, 70.9, BUILDING_GRANARY, 94.9, 32, 31.4
42, LOC_CITY_NAME_RIO_DE_JANEIRO, 53.7, PROJECT_ENHANCE_DISTRICT_COMMERCIAL_HUB, 53.7, 58, 0.0
42, LOC_CITY_NAME_SAO_PAULO, 26.6, PROJECT_ENHANCE_DISTRICT_CAMPUS, 26.6, 58, 0.0
42, LOC_CITY_NAME_FORTALEZA, 44.6, UNIT_CROSSBOWMAN, 127.4, 90, 48.7
42, LOC_CITY_NAME_CURITIBA, 74.0, UNIT_CROSSBOWMAN, 74.0, 90, 0.0
42, LOC_CITY_NAME_SALVADOR, 60.3, BUILDING_MONUMENT, 60.3, 30, 7.9
42, LOC_CITY_NAME_JERUSALEM, 19.4, UNIT_BUILDER, 72.0, 55, 17.0
42, LOC_CITY_NAME_AACHEN, 134.2, UNIT_SKIRMISHER, 188.3, 75, 70.6
42, LOC_CITY_NAME_MAGDEBURG, 48.9, BUILDING_AMPHITHEATER, 48.9, 60, 0.0
42, LOC_CITY_NAME_COLOGNE, 125.9, BUILDING_BARRACKS, 125.9, 45, 29.7
42, LOC_CITY_NAME_DORTMUND, 48.2, BUILDING_MONUMENT, 66.4, 30, 36.4
42, LOC_CITY_NAME_HEIDELBERG, 38.6, BUILDING_GRANARY, 38.6, 32, 6.6
42, LOC_CITY_HA_NOI, 75.7, UNIT_MAN_AT_ARMS, 75.7, 75, 4.1
42, LOC_CITY_HUE, 63.0, UNIT_VIETNAMESE_VOI_CHIEN, 138.4, 100, 54.4
42, LOC_CITY_QUANG_TRI, 83.9, DISTRICT_AQUEDUCT, 83.9, 61, 13.6
42, LOC_CITY_HOI_AN, 100.0, UNIT_MAN_AT_ARMS, 100.0, 75, 0.0
42, LOC_CITY_HOA_LU, 104.6, BUILDING_WALLS, 104.6, 50, 0.0
42, LOC_CITY_HOA_LU, 34.0, BUILDING_WATER_MILL, 34.0, 40, 0.0
42, LOC_CITY_NAME_ROME, 49.9, PROJECT_ENHANCE_DISTRICT_CAMPUS, 49.9, 63, 0.0
42, LOC_CITY_NAME_ARRETIUM, 32.3, PROJECT_ENHANCE_DISTRICT_CAMPUS, 32.3, 63, 0.0
42, LOC_CITY_NAME_ARPINUM, 33.6, PROJECT_ENHANCE_DISTRICT_CAMPUS, 33.6, 63, 0.0
42, LOC_CITY_NAME_LUGDUNUM, 41.9, UNIT_MAN_AT_ARMS, 116.2, 75, 51.9
42, LOC_CITY_NAME_CUMAE, 36.6, UNIT_MAN_AT_ARMS, 82.8, 75, 17.1
42, LOC_CITY_NAME_BRUNDISIUM, 22.7, BUILDING_WALLS, 22.7, 50, 0.0
42, LOC_CITY_NAME_BABYLON, 47.1, UNIT_BUILDER, 47.1, 31, 0.0
42, LOC_CITY_NAME_HATTUSA, 10.0, PROJECT_ENHANCE_DISTRICT_CAMPUS, 40.0, 52, 0.0
42, LOC_CITY_NAME_JOHANNESBURG, 21.0, BUILDING_WALLS, 63.0, 50, 0.0
42, LOC_CITY_NAME_VATICAN_CITY, 9.5, BUILDING_WATER_MILL, 38.0, 40, 0.0
42, LOC_CITY_NAME_VILNIUS, 31.2, UNIT_CROSSBOWMAN, 103.3, 90, 0.0
42, LOC_CITY_NAME_KUMASI, 45.1, UNIT_BUILDER, 45.1, 31, 0.0
42, LOC_CITY_NAME_PRESLAV, 9.6, UNIT_TRADER, 27.2, 34, 0.0
42, LOC_CITY_NAME_PRESLAV, 31.0, UNIT_TRADER, 58.2, 34, 24.2
42, LOC_CITY_NAME_RA_KEDET, 47.4, UNIT_SETTLER, 47.4, 130, 0.0
42, LOC_CITY_NAME_MEMPHIS, 41.3, UNIT_BUILDER, 41.3, 41, 0.0
42, LOC_CITY_NAME_SWENETT, 49.3, UNIT_KNIGHT, 82.9, 100, 0.0
42, LOC_CITY_NAME_IWNW, 9.3, BUILDING_MONUMENT, 33.1, 30, 3.1
42, LOC_CITY_NAME_NEKHEN, 8.1, DISTRICT_COMMERCIAL_HUB, 59.7, 65, 0.0
42, LOC_CITY_NAME_AKHETATEN, 18.2, DISTRICT_ENCAMPMENT, 54.7, 75, 0.0
42, LOC_CITY_NAME_SENA, 8.0, DISTRICT_COMMERCIAL_HUB, 20.0, 80, 0.0
42, LOC_CITY_NAME_BABYLON_STK, 36.0, DISTRICT_DIPLOMATIC_QUARTER, 36.0, 40, 0.0
42, LOC_CITY_NAME_BORSIPPA, 25.5, BUILDING_LIBRARY, 63.9, 45, 18.9
42, LOC_CITY_NAME_KARKAR, 47.0, UNIT_SETTLER, 103.0, 115, 0.0
42, LOC_CITY_NAME_DUR_KURIGALZU, 33.5, BUILDING_MARKET, 33.5, 60, 0.0
42, LOC_CITY_NAME_ESHNUNNA, 18.6, DISTRICT_COMMERCIAL_HUB, 59.1, 70, 0.0
42, LOC_CITY_NAME_MASHKAN_SHAPIR, 8.1, BUILDING_MONUMENT, 13.9, 30, 0.0
42, LOC_CITY_NAME_PATNA, 46.7, UNIT_KNIGHT, 92.0, 100, 0.0
42, LOC_CITY_NAME_CHENNAI, 51.7, BUILDING_WATER_MILL, 51.7, 40, 0.0
42, LOC_CITY_NAME_DELHI, 12.8, BUILDING_WATER_MILL, 38.3, 40, 0.0
42, LOC_CITY_NAME_CALCUTTA, 9.3, BUILDING_WATER_MILL, 31.4, 40, 0.0
42, LOC_CITY_NAME_MUMBAI, 7.0, BUILDING_OLD_GOD_OBELISK, 20.9, 30, 0.0
42, LOC_CITY_NAME_JABALPUR, 5.8, BUILDING_OLD_GOD_OBELISK, 17.4, 30, 0.0
42, LOC_CITY_NAME_NIANI, 21.0, BUILDING_TEMPLE, 70.0, 60, 2.0
42, LOC_CITY_NAME_TIMBUKTU, 32.7, BUILDING_PYRAMIDS, 32.7, 110, 0.0
42, LOC_CITY_NAME_WALATA, 17.3, DISTRICT_CAMPUS, 43.6, 50, 0.0
42, LOC_CITY_NAME_KUMBI_SALEH, 13.0, BUILDING_TEMPLE, 13.0, 60, 0.0
42, LOC_CITY_NAME_GAO, 9.7, DISTRICT_HOLY_SITE, 49.4, 61, 0.0
42, LOC_CITY_NAME_AWDAGHUST, 10.0, BUILDING_MARKET, 53.0, 60, 0.0
42, LOC_CITY_NAME_KIRINA, 7.0, DISTRICT_HOLY_SITE, 21.0, 73, 0.0
42, LOC_CITY_NAME_MEROE, 64.4, UNIT_BUILDER, 64.4, 59, 0.0
42, LOC_CITY_NAME_SEDEINGA, 58.9, PROJECT_ENHANCE_DISTRICT_INDUSTRIAL_ZONE, 58.9, 59, 0.0
42, LOC_CITY_NAME_KERMA, 49.7, UNIT_BUILDER, 49.7, 61, 0.0
42, LOC_CITY_NAME_KAWA, 13.9, BUILDING_MARKET, 27.8, 60, 0.0
42, LOC_CITY_NAME_EL_KURRU, 11.6, BUILDING_MARKET, 37.8, 60, 0.0
42, LOC_CITY_NAME_QASR_IBRIM, 8.1, BUILDING_MONUMENT, 15.1, 30, 0.0
42, LOC_CITY_NAME_HEH, 4.9, DISTRICT_COMMERCIAL_HUB, 8.1, 85, 0.0
42, LOC_CITY_NAME_SHAAT, 3.3, DISTRICT_COMMERCIAL_HUB, 6.5, 85, 0.0
42, LOC_CITY_NAME_ESHNUNNA, 14.0, DISTRICT_COMMERCIAL_HUB, 73.1, 70, 3.1
42, LOC_CITY_NAME_KERMA, 33.7, UNIT_BUILDER, 83.4, 61, 22.7
43, LOC_CITY_NAME_PELLA, 90.3, UNIT_MAN_AT_ARMS, 90.3, 75, 13.2
43, LOC_CITY_NAME_ALEXANDRIA_TROAS, 48.5, UNIT_MAN_AT_ARMS, 48.5, 75, 0.0
43, LOC_CITY_NAME_CHALKIDIKI, 20.3, PROJECT_ENHANCE_DISTRICT_CAMPUS, 80.2, 63, 47.9
43, LOC_CITY_NAME_ALEXANDRIA_LATMUS, 21.3, PROJECT_ENHANCE_DISTRICT_CAMPUS, 79.3, 63, 48.4
43, LOC_CITY_NAME_FEZ, 61.3, UNIT_MAN_AT_ARMS, 61.3, 75, 0.0
43, LOC_CITY_NAME_METHONE, 66.1, BUILDING_WALLS, 86.6, 50, 0.0
43, LOC_CITY_NAME_BUENOS_AIRES, 71.4, BUILDING_WATER_MILL, 71.4, 40, 0.0
43, LOC_CITY_NAME_RIO_DE_JANEIRO, 21.3, PROJECT_ENHANCE_DISTRICT_COMMERCIAL_HUB, 75.0, 58, 49.2
43, LOC_CITY_NAME_SAO_PAULO, 24.1, PROJECT_ENHANCE_DISTRICT_CAMPUS, 50.8, 58, 0.0
