Game Turn, Event, Attacker, Unit, Defender, Unit, Mayhem, Current Total
45, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_TREBUCHET, 1.0, 2394.0
45, Death, 4, UNIT_CROSSBOWMAN, 9, UNIT_TREBUCHET, 1.0, 2395.0
45, Combat, 0, UNIT_EGYPTIAN_CHARIOT_ARCHER, 5, UNIT_MACEDONIAN_HETAIROI, 1.0, 2396.0
45, Death, 0, UNIT_EGYPTIAN_CHARIOT_ARCHER, 5, UNIT_MACEDONIAN_HETAIROI, 1.0, 2397.0
46, Building Pillaged, -1, , 1, BUILDING_MARKET, 2.0, 2399.0
46, Combat, 7, UNIT_SWORDSMAN, 14, UNIT_SWORDSMAN, 1.0, 2400.0
46, Death, 7, UNIT_SWORDSMAN, 14, UNIT_SWORDSMAN, 1.0, 2401.0
46, Combat, 7, UNIT_SWORDSMAN, 14, UNIT_CATAPULT, 1.0, 2402.0
46, Death, 7, UNIT_SWORDSMAN, 14, UNIT_CATAPULT, 1.0, 2403.0
46, Combat, 8, UNIT_SWORDSMAN, 16, District, 1.0, 2404.0
46, Combat, 8, UNIT_SKIRMISHER, 1, UNIT_SCOUT, 1.0, 2405.0
46, Combat, 9, UNIT_TREBUCHET, 4, UNIT_VAMPIRE, 1.0, 2406.0
46, Combat, 14, UNIT_CATAPULT, 7, UNIT_SWORDSMAN, 1.0, 2407.0
46, Combat, 14, UNIT_SWORDSMAN, 7, UNIT_SWORDSMAN, 1.0, 2408.0
46, Combat, 14, District, 7, UNIT_SWORDSMAN, 1.0, 2409.0
46, Combat, 16, UNIT_CROSSBOWMAN, 8, UNIT_HORSEMAN, 1.0, 2410.0
46, Combat, 16, UNIT_CROSSBOWMAN, 8, UNIT_HORSEMAN, 1.0, 2411.0
46, Death, 16, UNIT_CROSSBOWMAN, 8, UNIT_HORSEMAN, 1.0, 2412.0
46, Combat, 16, District, 8, UNIT_CATAPULT, 1.0, 2413.0
46, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_TREBUCHET, 1.0, 2414.0
46, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_CROSSBOWMAN, 1.0, 2415.0
47, Declare war, 17, , 0, , 2.0, 2417.0
47, Declare war, 17, , 1, , 2.0, 2419.0
47, Declare war, 13, , 17, , 2.0, 2421.0
47, Declare war, 17, , 2, , 2.0, 2423.0
47, Declare war, 15, , 17, , 2.0, 2425.0
47, Declare war, 17, , 3, , 2.0, 2427.0
47, Declare war, 17, , 4, , 2.0, 2429.0
47, Declare war, 10, , 17, , 2.0, 2431.0
47, Declare war, 14, , 17, , 2.0, 2433.0
47, Declare war, 16, , 17, , 2.0, 2435.0
47, Declare war, 20, , 17, , 2.0, 2437.0
47, Declare war, 17, , 0, , 2.0, 2439.0
47, Declare war, 17, , 1, , 2.0, 2441.0
47, Declare war, 13, , 17, , 2.0, 2443.0
47, Declare war, 17, , 2, , 2.0, 2445.0
47, Declare war, 15, , 17, , 2.0, 2447.0
47, Declare war, 17, , 3, , 2.0, 2449.0
47, Declare war, 17, , 4, , 2.0, 2451.0
47, Declare war, 10, , 17, , 2.0, 2453.0
47, Declare war, 14, , 17, , 2.0, 2455.0
47, Declare war, 16, , 17, , 2.0, 2457.0
47, Declare war, 20, , 17, , 2.0, 2459.0
47, Declare war, 17, , 0, , 2.0, 2461.0
47, Declare war, 17, , 1, , 2.0, 2463.0
47, Declare war, 13, , 17, , 2.0, 2465.0
47, Declare war, 17, , 2, , 2.0, 2467.0
47, Declare war, 15, , 17, , 2.0, 2469.0
47, Declare war, 17, , 3, , 2.0, 2471.0
47, Declare war, 17, , 4, , 2.0, 2473.0
47, Declare war, 10, , 17, , 2.0, 2475.0
47, Declare war, 14, , 17, , 2.0, 2477.0
47, Declare war, 16, , 17, , 2.0, 2479.0
47, Declare war, 20, , 17, , 2.0, 2481.0
47, Declare war, 17, , 0, , 2.0, 2483.0
47, Declare war, 17, , 1, , 2.0, 2485.0
47, Declare war, 13, , 17, , 2.0, 2487.0
47, Declare war, 17, , 2, , 2.0, 2489.0
47, Declare war, 15, , 17, , 2.0, 2491.0
47, Declare war, 17, , 3, , 2.0, 2493.0
47, Declare war, 17, , 4, , 2.0, 2495.0
47, Declare war, 10, , 17, , 2.0, 2497.0
47, Declare war, 14, , 17, , 2.0, 2499.0
47, Declare war, 16, , 17, , 2.0, 2501.0
47, Declare war, 20, , 17, , 2.0, 2503.0
47, Declare war, 17, , 0, , 2.0, 2505.0
47, Declare war, 17, , 1, , 2.0, 2507.0
47, Declare war, 13, , 17, , 2.0, 2509.0
47, Declare war, 17, , 2, , 2.0, 2511.0
47, Declare war, 15, , 17, , 2.0, 2513.0
47, Declare war, 17, , 3, , 2.0, 2515.0
47, Declare war, 17, , 4, , 2.0, 2517.0
47, Declare war, 10, , 17, , 2.0, 2519.0
47, Declare war, 14, , 17, , 2.0, 2521.0
47, Declare war, 16, , 17, , 2.0, 2523.0
47, Declare war, 20, , 17, , 2.0, 2525.0
47, Declare war, 17, , 10, , 2.0, 2527.0
47, Declare war, 17, , 13, , 2.0, 2529.0
47, Declare war, 17, , 14, , 2.0, 2531.0
47, Declare war, 17, , 15, , 2.0, 2533.0
47, Declare war, 17, , 16, , 2.0, 2535.0
47, Declare war, 17, , 20, , 2.0, 2537.0
47, Combat, 7, UNIT_SKIRMISHER, 16, UNIT_CROSSBOWMAN, 1.0, 2538.0
47, Combat, 8, UNIT_VIETNAMESE_VOI_CHIEN, 16, UNIT_CROSSBOWMAN, 1.0, 2539.0
47, Combat, 8, UNIT_SWORDSMAN, 16, UNIT_CROSSBOWMAN, 1.0, 2540.0
47, Death, 8, UNIT_SWORDSMAN, 16, UNIT_CROSSBOWMAN, 1.0, 2541.0
47, Combat, 8, UNIT_CATAPULT, 16, District, 1.0, 2542.0
47, Combat, 8, UNIT_SWORDSMAN, 16, District, 1.0, 2543.0
47, Combat, 9, District, 4, UNIT_CROSSBOWMAN, 1.0, 2544.0
47, Combat, 9, UNIT_TREBUCHET, 4, UNIT_CROSSBOWMAN, 1.0, 2545.0
47, Combat, 14, UNIT_CATAPULT, 7, UNIT_SWORDSMAN, 1.0, 2546.0
47, Combat, 14, UNIT_SWORDSMAN, 7, UNIT_SWORDSMAN, 1.0, 2547.0
47, Death, 7, UNIT_SWORDSMAN, 14, UNIT_SWORDSMAN, 1.0, 2548.0
47, Combat, 14, District, 7, UNIT_SWORDSMAN, 1.0, 2549.0
47, Combat, 16, UNIT_CROSSBOWMAN, 8, UNIT_CATAPULT, 1.0, 2550.0
47, Combat, 16, District, 8, UNIT_CATAPULT, 1.0, 2551.0
47, Death, 16, DISTRICT_CITY_CENTER, 8, UNIT_CATAPULT, 1.0, 2552.0
47, Combat, 0, UNIT_EGYPTIAN_CHARIOT_ARCHER, 5, UNIT_MACEDONIAN_HETAIROI, 1.0, 2553.0
47, Combat, 0, UNIT_EGYPTIAN_CHARIOT_ARCHER, 5, UNIT_MACEDONIAN_HETAIROI, 1.0, 2554.0
47, Combat, 0, UNIT_VAMPIRE, 5, UNIT_MACEDONIAN_HETAIROI, 1.0, 2555.0
47, Death, 0, UNIT_VAMPIRE, 5, UNIT_MACEDONIAN_HETAIROI, 1.0, 2556.0
47, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_TREBUCHET, 1.0, 2557.0
47, Death, 4, UNIT_CROSSBOWMAN, 9, UNIT_TREBUCHET, 1.0, 2558.0
47, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_CROSSBOWMAN, 1.0, 2559.0
47, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_MAN_AT_ARMS, 1.0, 2560.0
47, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_MAN_AT_ARMS, 1.0, 2561.0
47, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_MAN_AT_ARMS, 1.0, 2562.0
47, Death, 4, UNIT_CROSSBOWMAN, 9, UNIT_MAN_AT_ARMS, 1.0, 2563.0
48, Combat, 5, UNIT_CROSSBOWMAN, 0, UNIT_VAMPIRE, 1.0, 2564.0
48, Combat, 5, District, 0, UNIT_VAMPIRE, 1.0, 2565.0
48, Combat, 7, UNIT_CATAPULT, 16, District, 1.0, 2566.0
48, Improvement Pillaged, -1, , 16, IMPROVEMENT_MINE, 1.0, 2567.0
48, Combat, 8, UNIT_VIETNAMESE_VOI_CHIEN, 16, District, 1.0, 2568.0
48, Combat, 8, UNIT_SWORDSMAN, 16, District, 1.0, 2569.0
48, Combat, 8, UNIT_HORSEMAN, 16, District, 1.0, 2570.0
48, Combat, 9, UNIT_CROSSBOWMAN, 4, UNIT_CROSSBOWMAN, 1.0, 2571.0
48, Combat, 9, District, 4, UNIT_CROSSBOWMAN, 1.0, 2572.0
48, Combat, 9, UNIT_CROSSBOWMAN, 4, UNIT_CROSSBOWMAN, 1.0, 2573.0
48, Combat, 9, UNIT_SKIRMISHER, 4, UNIT_CROSSBOWMAN, 1.0, 2574.0
48, Combat, 14, UNIT_CATAPULT, 7, UNIT_SWORDSMAN, 1.0, 2575.0
48, Combat, 14, District, 7, UNIT_SWORDSMAN, 1.0, 2576.0
48, Combat, 16, UNIT_CROSSBOWMAN, 8, UNIT_HORSEMAN, 1.0, 2577.0
48, Improvement Pillaged, -1, , 5, IMPROVEMENT_FARM, 1.0, 2578.0
48, Combat, 0, UNIT_KNIGHT, 5, UNIT_CROSSBOWMAN, 1.0, 2579.0
48, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_CROSSBOWMAN, 1.0, 2580.0
48, Death, 4, UNIT_CROSSBOWMAN, 9, UNIT_CROSSBOWMAN, 1.0, 2581.0
48, Combat, 0, UNIT_EGYPTIAN_CHARIOT_ARCHER, 5, District, 1.0, 2582.0
48, Declare war, 12, , 5, , 2.0, 2584.0
48, Declare war, 12, , 6, , 2.0, 2586.0
48, Declare war, 17, , 12, , 2.0, 2588.0
48, Declare war, 12, , 7, , 2.0, 2590.0
48, Declare war, 12, , 8, , 2.0, 2592.0
48, Declare war, 12, , 9, , 2.0, 2594.0
48, Declare war, 12, , 5, , 2.0, 2596.0
48, Declare war, 12, , 6, , 2.0, 2598.0
48, Declare war, 17, , 12, , 2.0, 2600.0
48, Declare war, 12, , 7, , 2.0, 2602.0
48, Declare war, 12, , 8, , 2.0, 2604.0
48, Declare war, 12, , 9, , 2.0, 2606.0
48, Declare war, 12, , 5, , 2.0, 2608.0
48, Declare war, 12, , 6, , 2.0, 2610.0
48, Declare war, 17, , 12, , 2.0, 2612.0
48, Declare war, 12, , 7, , 2.0, 2614.0
48, Declare war, 12, , 8, , 2.0, 2616.0
48, Declare war, 12, , 9, , 2.0, 2618.0
48, Declare war, 12, , 5, , 2.0, 2620.0
48, Declare war, 12, , 6, , 2.0, 2622.0
48, Declare war, 17, , 12, , 2.0, 2624.0
48, Declare war, 12, , 7, , 2.0, 2626.0
48, Declare war, 12, , 8, , 2.0, 2628.0
48, Declare war, 12, , 9, , 2.0, 2630.0
48, Declare war, 12, , 5, , 2.0, 2632.0
48, Declare war, 12, , 6, , 2.0, 2634.0
48, Declare war, 17, , 12, , 2.0, 2636.0
48, Declare war, 12, , 7, , 2.0, 2638.0
48, Declare war, 12, , 8, , 2.0, 2640.0
48, Declare war, 12, , 9, , 2.0, 2642.0
48, Declare war, 12, , 5, , 2.0, 2644.0
48, Declare war, 12, , 6, , 2.0, 2646.0
48, Declare war, 17, , 12, , 2.0, 2648.0
48, Declare war, 12, , 7, , 2.0, 2650.0
48, Declare war, 12, , 8, , 2.0, 2652.0
48, Declare war, 12, , 9, , 2.0, 2654.0
48, Declare war, 12, , 5, , 2.0, 2656.0
48, Declare war, 12, , 6, , 2.0, 2658.0
48, Declare war, 17, , 12, , 2.0, 2660.0
48, Declare war, 12, , 7, , 2.0, 2662.0
48, Declare war, 12, , 8, , 2.0, 2664.0
48, Declare war, 12, , 9, , 2.0, 2666.0
48, Declare war, 12, , 5, , 2.0, 2668.0
48, Declare war, 12, , 6, , 2.0, 2670.0
48, Declare war, 17, , 12, , 2.0, 2672.0
48, Declare war, 12, , 7, , 2.0, 2674.0
48, Declare war, 12, , 8, , 2.0, 2676.0
48, Declare war, 12, , 9, , 2.0, 2678.0
