Player,FromPlayer,Delta,New Total Weariness,Reason
12, 17, -2000, 0, They Made Peace
17, 13, -2000, 0, We Made Peace
13, 17, -2000, 0, They Made Peace
17, 14, -2000, 0, We Made Peace
14, 17, -2000, 0, They Made Peace
17, 15, -2000, 0, We Made Peace
15, 17, -2000, 0, They Made Peace
17, 18, -2000, 0, We Made Peace
18, 17, -2000, 0, They Made Peace
9, 4, 68, 1359, Attacking
0, 5, -50, 1706, At War Decay
2, 5, -50, 4, At War Decay
4, 8, -50, 0, At War Decay
4, 9, -50, 1721, At War Decay
0, 5, 68, 1774, Attacking
0, 5, 68, 1842, Attacking
4, 9, 51, 1772, Attacking
4, 9, 51, 1823, Attacking
9, 4, -50, 1309, At War Decay
9, 4, 34, 1343, Attacking
9, 4, 34, 1377, Attacking
9, 4, 68, 1445, Attacking
0, 5, -50, 1792, At War Decay
2, 5, -50, 0, At War Decay
4, 9, -50, 1773, At War Decay
4, 9, 51, 1824, Attacking
15, 5, -2000, 0, We Made Peace
5, 15, -2000, 0, They Made Peace
15, 6, -2000, 0, We Made Peace
6, 15, -2000, 0, They Made Peace
15, 7, -2000, 0, We Made Peace
7, 15, -2000, 0, They Made Peace
15, 8, -2000, 0, We Made Peace
8, 15, -2000, 0, They Made Peace
15, 9, -2000, 0, We Made Peace
9, 15, -2000, 0, They Made Peace
15, 17, -2000, 0, We Made Peace
17, 15, -2000, 0, They Made Peace
2, 5, 68, 68, Attacking
10, 0, -2000, 0, We Made Peace
0, 10, -2000, 0, They Made Peace
10, 1, -2000, 0, We Made Peace
1, 10, -2000, 0, They Made Peace
10, 2, -2000, 0, We Made Peace
2, 10, -2000, 0, They Made Peace
10, 3, -2000, 0, We Made Peace
3, 10, -2000, 0, They Made Peace
10, 4, -2000, 0, We Made Peace
4, 10, -2000, 0, They Made Peace
10, 12, -2000, 0, We Made Peace
12, 10, -2000, 0, They Made Peace
10, 13, -2000, 0, We Made Peace
13, 10, -2000, 0, They Made Peace
10, 14, -2000, 0, We Made Peace
14, 10, -2000, 0, They Made Peace
10, 18, -2000, 0, We Made Peace
18, 10, -2000, 0, They Made Peace
9, 4, -50, 1395, At War Decay
9, 4, 68, 1463, Attacking
9, 4, 68, 1531, Attacking
9, 4, 68, 1599, Attacking
9, 4, 68, 1667, Attacking
0, 5, -50, 1742, At War Decay
2, 5, -50, 18, At War Decay
4, 9, -50, 1774, At War Decay
0, 5, 68, 1810, Attacking
0, 5, 68, 1878, Attacking
0, 5, 68, 1946, Attacking
4, 9, 51, 1825, Attacking
4, 9, 51, 1876, Attacking
4, 9, 51, 1927, Attacking
4, 9, 25, 1952, Attacking
2, 6, 68, 68, Attacking
2, 5, 68, 86, Attacking
4, 9, -50, 1774, At War Decay
12, 5, -2000, 0, We Made Peace
5, 12, -2000, 0, They Made Peace
12, 6, -2000, 0, We Made Peace
6, 12, -2000, 0, They Made Peace
12, 7, -2000, 0, We Made Peace
7, 12, -2000, 0, They Made Peace
12, 8, -2000, 0, We Made Peace
8, 12, -2000, 0, They Made Peace
12, 9, -2000, 0, We Made Peace
9, 12, -2000, 0, They Made Peace
12, 17, -2000, 0, We Made Peace
17, 12, -2000, 0, They Made Peace
4, 9, 25, 1799, Attacking
10, 0, -2000, 0, We Made Peace
0, 10, -2000, 0, They Made Peace
10, 1, -2000, 0, We Made Peace
1, 10, -2000, 0, They Made Peace
10, 2, -2000, 0, We Made Peace
2, 10, -2000, 0, They Made Peace
10, 3, -2000, 0, We Made Peace
3, 10, -2000, 0, They Made Peace
10, 4, -2000, 0, We Made Peace
4, 10, -2000, 0, They Made Peace
10, 12, -2000, 0, We Made Peace
12, 10, -2000, 0, They Made Peace
10, 13, -2000, 0, We Made Peace
13, 10, -2000, 0, They Made Peace
10, 14, -2000, 0, We Made Peace
14, 10, -2000, 0, They Made Peace
10, 18, -2000, 0, We Made Peace
18, 10, -2000, 0, They Made Peace
9, 4, -50, 1395, At War Decay
9, 4, 68, 1463, Attacking
9, 4, 68, 1531, Attacking
9, 4, 68, 1599, Attacking
0, 5, -50, 1742, At War Decay
2, 5, -50, 18, At War Decay
2, 6, 68, 68, Attacking
2, 5, 68, 86, Attacking
0, 5, 68, 1810, Attacking
0, 5, 68, 1878, Attacking
0, 5, 68, 1946, Attacking
4, 9, -50, 1749, At War Decay
4, 9, 51, 1800, Attacking
4, 9, 51, 1851, Attacking
9, 4, -50, 1549, At War Decay
17, 0, -2000, 0, We Made Peace
0, 17, -2000, 0, They Made Peace
17, 1, -2000, 0, We Made Peace
1, 17, -2000, 0, They Made Peace
17, 2, -2000, 0, We Made Peace
2, 17, -2000, 0, They Made Peace
17, 3, -2000, 0, We Made Peace
3, 17, -2000, 0, They Made Peace
17, 4, -2000, 0, We Made Peace
4, 17, -2000, 0, They Made Peace
17, 12, -2000, 0, We Made Peace
12, 17, -2000, 0, They Made Peace
17, 13, -2000, 0, We Made Peace
13, 17, -2000, 0, They Made Peace
17, 14, -2000, 0, We Made Peace
14, 17, -2000, 0, They Made Peace
17, 18, -2000, 0, We Made Peace
18, 17, -2000, 0, They Made Peace
17, 20, -2000, 0, We Made Peace
20, 17, -2000, 0, They Made Peace
9, 4, 34, 1583, Attacking
9, 4, 170, 1753, Attacking
9, 4, 34, 1787, Attacking
9, 4, 68, 1855, Attacking
0, 5, -50, 1896, At War Decay
2, 5, -50, 36, At War Decay
2, 6, -50, 18, At War Decay
