Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
3, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 61 23
3, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 60 24
3, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 7 25
3, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 9 23
3, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 58 72
3, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 58 77
3, 18, Wander, , , UNIT_WARRIOR (131073), Move To: 33 74
3, 18, Wander, , , UNIT_WARRIOR (196610), Move To: 34 75
3, 19, Wander, , , UNIT_WARRIOR (131073), Move To: 12 67
3, 19, Wander, , , UNIT_WARRIOR (196610), Move To: 15 69
3, 20, Wander, , , UNIT_WARRIOR (131073), Move To: 66 28
3, 20, Wander, , , UNIT_WARRIOR (196610), Move To: 68 26
3, 21, First Turn Settler Fallback, , , UNIT_SETTLER (65536), Move To: 66 67
3, 21, HL: End Turn, , , UNIT_WARRIOR (131073)
3, 21, HL: End Turn, , , UNIT_WARRIOR (196610)
4, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 70 14
4, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 71 14
4, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 20 55
4, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 22 56
4, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 65 74
4, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 65 73
4, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 59 3
4, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 58 2
4, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 2 26
4, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 4 28
4, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 61 25
4, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 61 24
4, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 9 24
4, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 8 23
4, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 57 72
4, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 59 79
4, 18, Wander, , , UNIT_WARRIOR (131073), Move To: 32 74
4, 18, Wander, , , UNIT_WARRIOR (196610), Move To: 33 74
4, 19, Wander, , , UNIT_WARRIOR (131073), Move To: 13 67
4, 19, Wander, , , UNIT_WARRIOR (196610), Move To: 16 68
4, 20, Wander, , , UNIT_WARRIOR (131073), Move To: 64 29
4, 20, Wander, , , UNIT_WARRIOR (196610), Move To: 68 24
4, 21, HL: First turn settler, , , UNIT_SETTLER (65536)
4, 21, HL: End Turn, , , UNIT_WARRIOR (131073)
4, 21, HL: End Turn, , , UNIT_WARRIOR (196610)
5, 8, HL: Build Improvement, , , UNIT_BUILDER, Move -9999 -9999
5, 8, HL: Explore, , , UNIT_SCOUT (458757), Move To: 22 14
5, 8, HL: End Turn, , , UNIT_BUILDER (327680)
5, 8, HL: End Turn, , , UNIT_SCOUT (458757)
5, 9, HL: End Turn, , , UNIT_BUILDER (393220)
5, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 69 15
5, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 70 15
5, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 19 55
5, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 21 58
5, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 64 73
5, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 66 72
5, 12, HL: End Turn, , , UNIT_BUILDER (262144)
5, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 57 3
5, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 58 4
5, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 2 27
5, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 2 29
5, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 63 26
5, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 60 23
5, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 10 25
5, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 10 22
5, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 58 70
5, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 60 78
