Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
1, 5, 9, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 9, 5, 对您的第一印象, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
1, 9,  5, 对您的第一印象, Deactivate
1, 9, 5, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 6, 7, 对您的第一印象, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
1, 6,  7, 对您的第一印象, Deactivate
1, 6, 7, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 7, 6, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 6, 8, 对您的第一印象, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
1, 6,  8, 对您的第一印象, Deactivate
1, 6, 8, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 8, 6, 对您的第一印象, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
1, 8,  6, 对您的第一印象, Deactivate
1, 8, 6, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 6, 9, 对您的第一印象, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
1, 6,  9, 对您的第一印象, Deactivate
1, 6, 9, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 9, 6, 对您的第一印象, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
1, 9,  6, 对您的第一印象, Deactivate
1, 9, 6, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 7, 8, 对您的第一印象, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
1, 7,  8, 对您的第一印象, Deactivate
1, 7, 8, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 8, 7, 对您的第一印象, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
1, 8,  7, 对您的第一印象, Deactivate
1, 8, 7, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
