Game Turn, Player, Regional Strength, Enemy Strength, Other Strength, Current Explorers, Desired Explorers, Fav Tech, Combat Desire
6, 5, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.1
6, 6, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.1
6, 7, 40, 0, 30, 2:0, 3:1, NO_TECH, 0.1
6, 8, 40, 0, 30, 4:0, 3:1, NO_TECH, 0.1
6, 9, 40, 0, 0, 2:0, 3:1, NO_TECH, 0.1
6, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 12, 40, 0, 40, 0:0, 0:0, NO_TECH, 0.0
6, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 14, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 18, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 19, 20, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 20, 20, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 21, 40, 0, 40, 0:0, 0:0, NO_TECH, 0.0
6, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
6, 0, 30, 0, 0, 3:0, 2:1, NO_TECH, 0.0
6, 1, 34, 0, 10, 3:0, 1:1, NO_TECH, 0.1
6, 2, 40, 0, 20, 3:0, 1:1, NO_TECH, 0.1
6, 3, 10, 0, 17, 2:0, 1:1, NO_TECH, 0.1
6, 4, 50, 0, 20, 3:0, 2:1, NO_TECH, 0.0
7, 5, 40, 0, 0, 4:0, 3:1, NO_TECH, 0.1
7, 6, 60, 0, 0, 5:0, 2:1, NO_TECH, 0.1
7, 7, 40, 0, 20, 2:0, 3:1, NO_TECH, 0.1
7, 8, 40, 0, 30, 3:0, 3:1, NO_TECH, 0.1
7, 9, 40, 0, 0, 2:0, 3:1, NO_TECH, 0.1
7, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 12, 40, 0, 40, 0:0, 0:0, NO_TECH, 0.0
7, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 14, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 18, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 19, 20, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 20, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 21, 40, 0, 40, 0:0, 0:0, NO_TECH, 0.0
7, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
7, 0, 30, 0, 0, 3:0, 2:1, NO_TECH, 0.0
7, 1, 34, 0, 0, 3:0, 1:1, NO_TECH, 0.0
7, 2, 40, 0, 20, 3:0, 1:1, NO_TECH, 0.0
7, 3, 0, 0, 17, 2:0, 1:1, NO_TECH, 1.1
7, 4, 50, 0, 20, 3:0, 2:1, NO_TECH, 0.0
8, 5, 40, 0, 0, 3:0, 3:1, NO_TECH, 0.1
8, 6, 60, 0, 0, 4:0, 3:1, NO_TECH, 0.1
8, 7, 40, 0, 20, 2:0, 3:1, NO_TECH, 0.1
8, 8, 40, 0, 40, 3:0, 3:1, NO_TECH, 0.2
8, 9, 50, 0, 0, 4:0, 3:1, NO_TECH, 0.1
8, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
8, 11, 40, 0, 10, 0:0, 0:0, NO_TECH, 0.0
