Game Turn, Player, BY TYPE: Tiles, Buildings, Districts, Population, Outgoing Trade Routes, TOURISM, Diplo Victory, BALANCE: Favor, LIFETIME: Favor, CO2 Per Turn
5, CIVILIZATION_VIETNAM, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_ROME, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_BABYLON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_JERUSALEM, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_HATTUSA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_JOHANNESBURG, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_LISBON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_VATICAN_CITY, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_VILNIUS, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_YEREVAN, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_FEZ, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_KUMASI, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_PRESLAV, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_EGYPT, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_BABYLON_STK, 8, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_INDIA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
