Game Turn, Player, Strategy, Status
1, 14, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 14, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 14, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 14, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 14, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 14, STRATEGY_RAPID_EXPANSION, Forbidden
1, 14, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 14, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 14, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 14, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 14, STRATEGY_MODERN_CHANGES, Forbidden
1, 14, STRATEGY_DARKAGE, Forbidden
1, 14, VICTORY_STRATEGY_DIPLOMATIC_VICTORY, Forbidden
1, 14, STRATEGY_ANCIENT_CHANGES, Forbidden
1, 15, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 15, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 15, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 15, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 15, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 15, STRATEGY_RAPID_EXPANSION, Forbidden
1, 15, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 15, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 15, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 15, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 15, STRATEGY_MODERN_CHANGES, Forbidden
1, 15, STRATEGY_DARKAGE, Forbidden
1, 15, VICTORY_STRATEGY_DIPLOMATIC_VICTORY, Forbidden
1, 15, STRATEGY_ANCIENT_CHANGES, Forbidden
1, 16, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 16, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 16, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 16, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 16, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 16, STRATEGY_RAPID_EXPANSION, Forbidden
1, 16, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 16, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 16, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 16, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 16, STRATEGY_MODERN_CHANGES, Forbidden
1, 16, STRATEGY_DARKAGE, Forbidden
1, 16, VICTORY_STRATEGY_DIPLOMATIC_VICTORY, Forbidden
1, 16, STRATEGY_ANCIENT_CHANGES, Forbidden
1, 17, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 17, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 17, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
