Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
9, CIVILIZATION_GENEVA, 1, 2, 2, 1, 2, 0, 0, 0, 7, 0, 45, 0, 4, 1, 5, 0, 5, 5
9, CIVILIZATION_CAGUANA, 1, 3, 2, 1, 2, 0, 0, 0, 7, 1, 45, 0, 3, 2, 5, 0, 2, 12
9, CIVILIZATION_LAHORE, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 45, 0, 3, 1, 5, 0, 5, 5
9, CIVILIZATION_CHINGUETTI, 1, 3, 1, 1, 2, 0, 0, 0, 7, 2, 45, 0, 3, 2, 5, 0, 3, 10
9, CIVILIZATION_HATTUSA, 1, 3, 2, 1, 2, 0, 0, 0, 7, 1, 45, 0, 3, 1, 5, 0, 3, 12
9, CIVILIZATION_BUENOS_AIRES, 1, 3, 1, 1, 2, 0, 0, 0, 7, 0, 45, 0, 3, 1, 5, 0, 5, 9
9, CIVILIZATION_MEXICO_CITY, 1, 2, 1, 1, 2, 0, 0, 0, 7, 2, 45, 0, 3, 1, 5, 0, 3, 7
9, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_PERSIA, 1, 3, 1, 1, 3, 0, 0, 0, 9, 0, 90, 3, 4, 2, 7, 1, 9, 9
9, CIVILIZATION_BABYLON_STK, 1, 3, 2, 1, 2, 0, 0, 0, 8, 1, 41, 1, 4, 2, 6, 1, 10, 12
9, CIVILIZATION_INDIA, 1, 4, 1, 1, 4, 0, 0, 0, 9, 0, 48, 3, 4, 3, 6, 1, 10, 15
9, CIVILIZATION_NUBIA, 1, 2, 1, 1, 4, 0, 0, 0, 10, 1, 32, 3, 3, 2, 8, 1, 9, 7
1, CIVILIZATION_MACEDON, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BRAZIL, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_GERMANY, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_VIETNAM, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_ROME, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BABYLON, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_JERUSALEM, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_HATTUSA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_JOHANNESBURG, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
