Game Turn, Player, Action, Tech, Score, Boost, Turns
1, 0, Tech, TECH_POTTERY, 78.3, , 12
1, 0, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 0, Tech, TECH_MINING, 60.3, , 12
1, 0, Tech, TECH_SAILING, 32.3, , 25
1, 0, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 0, Tech, TECH_IRRIGATION, 89.8, , 37
1, 0, Tech, TECH_ARCHERY, 71.7, , 37
1, 0, Tech, TECH_WRITING, 96.5, BOOSTED, 37
1, 0, Tech, TECH_MASONRY, -9938.8, , 52
1, 0, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 0, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 0, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 0, Tech, TECH_CURRENCY, -14853.7, , 115
1, 0, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 0, Tech, TECH_IRON_WORKING, -14908.1, , 130
1, 0, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 0, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 1, Tech, TECH_POTTERY, 78.3, , 12
1, 1, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 1, Tech, TECH_MINING, 60.3, , 12
1, 1, Tech, TECH_SAILING, 32.3, , 25
1, 1, Tech, TECH_ASTROLOGY, 56.5, , 25
1, 1, Tech, TECH_IRRIGATION, 90.8, , 37
1, 1, Tech, TECH_ARCHERY, 71.7, , 37
1, 1, Tech, TECH_WRITING, 98.4, BOOSTED, 37
1, 1, Tech, TECH_MASONRY, -9938.8, , 52
1, 1, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 1, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 1, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 1, Tech, TECH_CURRENCY, -14850.9, , 115
1, 1, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 1, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 1, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 1, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 2, Tech, TECH_POTTERY, 78.3, , 12
1, 2, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 2, Tech, TECH_MINING, 60.3, , 12
1, 2, Tech, TECH_SAILING, 32.3, , 25
1, 2, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 2, Tech, TECH_IRRIGATION, 89.8, , 37
1, 2, Tech, TECH_ARCHERY, 71.7, , 37
1, 2, Tech, TECH_WRITING, 96.5, BOOSTED, 37
1, 2, Tech, TECH_MASONRY, -9938.8, , 52
1, 2, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 2, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 2, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 2, Tech, TECH_CURRENCY, -14853.7, , 115
1, 2, Tech, TECH_HORSEBACK_RIDING, -14890.9, , 115
1, 2, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 2, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 2, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 3, Tech, TECH_POTTERY, 78.3, , 12
1, 3, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 3, Tech, TECH_MINING, 60.3, , 12
1, 3, Tech, TECH_SAILING, 32.3, , 25
1, 3, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 3, Tech, TECH_IRRIGATION, 89.8, , 37
1, 3, Tech, TECH_ARCHERY, 107.6, , 37
