Game Turn, From, To, Initiator, Type, SubType, Message
9, 9, 7, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
9, 9, 8, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
11, 5, 6, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
11, 5, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
11, 5, 6, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
11, 5, 7, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
11, 5, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
11, 5, 7, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
11, 5, 8, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
11, 5, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
11, 5, 8, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
11, 5, 9, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
11, 5, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
11, 5, 9, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
11, 7, 5, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
11, 7, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
11, 7, 5, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
11, 7, 6, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
11, 7, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
11, 7, 6, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
11, 7, 8, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
11, 7, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
11, 7, 8, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
11, 7, 9, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
11, 7, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
11, 7, 9, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
11, 9, 8, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
11, 9, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
11, 9, 8, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
11, 9, 4, -1, FIRST_MEET_NEAR_RECIPIENT, NONE, 00000000, Requesting Session (B)
11, 9, 4, 9, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Adding to pending
11, 9, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
11, 9, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Already has open session!
11, 5, 4, -1, FIRST_MEET_NO_MANS, NONE, 00000000, Requesting Session (B)
11, 5, 4, 5, FIRST_MEET_NO_MANS, NONE, INITIAL, Adding to pending
